               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/valve_mAP,metrics/valve_mAP_50
                   0,             0.10924,            0.031821,                   0,          0.00052632,                 0.1,          0.00029922,          4.9641e-05,             0.10744,            0.029144,                   0,             0.07075,             0.00325,             0.00325,          4.9641e-05,          0.00029922
                   1,             0.08832,            0.031238,                   0,           0.0033333,             0.76667,           0.0053652,           0.0025607,            0.084524,            0.035377,                   0,            0.040685,           0.0065182,           0.0065182,           0.0025607,           0.0053652
                   2,            0.086127,            0.025999,                   0,            0.019024,                   1,             0.34839,             0.19552,            0.082566,             0.02418,                   0,            0.010554,           0.0097203,           0.0097203,             0.19552,             0.34839
                   3,            0.085181,             0.02332,                   0,           0.0033333,                   1,            0.042933,           0.0089488,            0.083844,            0.025133,                   0,            0.009703,            0.009703,            0.009703,           0.0089488,            0.042933
                   4,            0.086683,            0.023738,                   0,            0.033454,            0.033333,             0.27854,             0.10466,            0.066931,            0.023815,                   0,            0.009703,            0.009703,            0.009703,             0.10466,             0.27854
                   5,            0.072533,            0.022896,                   0,            0.030189,                   1,             0.31888,             0.19344,            0.068247,            0.020289,                   0,            0.009604,            0.009604,            0.009604,             0.19344,             0.31888
                   6,            0.065117,            0.022346,                   0,             0.88545,                 0.9,             0.88451,             0.20496,            0.054882,            0.020499,                   0,            0.009505,            0.009505,            0.009505,             0.20496,             0.88451
                   7,            0.062162,            0.021745,                   0,             0.99055,                   1,               0.995,             0.30943,            0.048544,            0.022498,                   0,            0.009406,            0.009406,            0.009406,             0.30943,               0.995
                   8,            0.058177,            0.021372,                   0,             0.50265,                   1,             0.88091,             0.32931,            0.052365,            0.017804,                   0,            0.009307,            0.009307,            0.009307,             0.32931,             0.88091
                   9,            0.052093,            0.018583,                   0,             0.97924,                   1,               0.995,             0.35977,            0.052096,            0.017307,                   0,            0.009208,            0.009208,            0.009208,             0.35977,               0.995
                  10,            0.053576,            0.018947,                   0,             0.99586,                   1,               0.995,             0.48875,            0.040798,            0.016402,                   0,            0.009109,            0.009109,            0.009109,             0.48875,               0.995
                  11,            0.049292,            0.018868,                   0,             0.99256,                   1,               0.995,             0.44303,            0.039171,            0.016396,                   0,             0.00901,             0.00901,             0.00901,             0.44303,               0.995
                  12,            0.045616,            0.017377,                   0,             0.99007,                   1,               0.995,             0.45106,            0.037008,            0.015313,                   0,            0.008911,            0.008911,            0.008911,             0.45106,               0.995
                  13,            0.045006,            0.015953,                   0,             0.99682,                   1,               0.995,             0.48586,            0.028023,            0.014838,                   0,            0.008812,            0.008812,            0.008812,             0.48586,               0.995
                  14,            0.040402,            0.013543,                   0,             0.99448,                   1,               0.995,             0.51334,            0.046518,            0.011985,                   0,            0.008713,            0.008713,            0.008713,             0.51334,               0.995
                  15,            0.043379,            0.013587,                   0,             0.99565,                   1,               0.995,             0.65718,            0.041824,            0.011903,                   0,            0.008614,            0.008614,            0.008614,             0.65718,               0.995
                  16,            0.040889,            0.012675,                   0,             0.98171,                   1,               0.995,             0.42223,             0.03682,            0.011776,                   0,            0.008515,            0.008515,            0.008515,             0.42223,               0.995
                  17,            0.042717,            0.011862,                   0,             0.99641,                   1,               0.995,             0.52375,            0.030433,            0.011333,                   0,            0.008416,            0.008416,            0.008416,             0.52375,               0.995
                  18,            0.038519,             0.01106,                   0,             0.99454,                   1,               0.995,             0.49669,            0.032655,            0.010638,                   0,            0.008317,            0.008317,            0.008317,             0.49669,               0.995
                  19,            0.036864,            0.010714,                   0,             0.99628,                   1,               0.995,             0.66945,            0.029536,            0.010312,                   0,            0.008218,            0.008218,            0.008218,             0.66945,               0.995
                  20,            0.034443,            0.010882,                   0,             0.96044,                   1,               0.995,              0.4434,            0.039822,           0.0091786,                   0,            0.008119,            0.008119,            0.008119,              0.4434,               0.995
                  21,            0.038293,           0.0093524,                   0,             0.99704,                   1,               0.995,             0.81548,            0.026395,            0.009294,                   0,             0.00802,             0.00802,             0.00802,             0.81548,               0.995
                  22,            0.034137,           0.0099402,                   0,             0.99377,                   1,               0.995,             0.77462,            0.022452,           0.0094154,                   0,            0.007921,            0.007921,            0.007921,             0.77462,               0.995
                  23,            0.033537,           0.0095213,                   0,             0.99674,                   1,               0.995,             0.80625,            0.017178,            0.009573,                   0,            0.007822,            0.007822,            0.007822,             0.80625,               0.995
                  24,            0.031946,           0.0090892,                   0,             0.98968,                   1,               0.995,             0.63057,            0.026902,           0.0092846,                   0,            0.007723,            0.007723,            0.007723,             0.63057,               0.995
                  25,            0.031563,           0.0088479,                   0,             0.99691,                   1,               0.995,             0.86963,            0.023886,           0.0092121,                   0,            0.007624,            0.007624,            0.007624,             0.86963,               0.995
                  26,            0.031943,           0.0091035,                   0,             0.99614,                   1,               0.995,             0.57763,            0.027311,           0.0084515,                   0,            0.007525,            0.007525,            0.007525,             0.57763,               0.995
                  27,            0.030269,           0.0083192,                   0,             0.99734,                   1,               0.995,             0.61723,            0.018055,           0.0088775,                   0,            0.007426,            0.007426,            0.007426,             0.61723,               0.995
                  28,            0.031328,           0.0086692,                   0,             0.93571,                   1,               0.995,             0.80145,            0.019587,            0.008459,                   0,            0.007327,            0.007327,            0.007327,             0.80145,               0.995
                  29,            0.028297,           0.0081894,                   0,             0.99713,                   1,               0.995,             0.68402,            0.020317,           0.0086507,                   0,            0.007228,            0.007228,            0.007228,             0.68402,               0.995
                  30,             0.02809,           0.0083853,                   0,             0.99738,                   1,               0.995,              0.7301,            0.019887,           0.0081054,                   0,            0.007129,            0.007129,            0.007129,              0.7301,               0.995
                  31,            0.027054,            0.008605,                   0,             0.99708,                   1,               0.995,             0.78308,            0.022181,           0.0081422,                   0,             0.00703,             0.00703,             0.00703,             0.78308,               0.995
                  32,            0.027959,           0.0079609,                   0,             0.99737,                   1,               0.995,             0.70197,            0.025593,           0.0082572,                   0,            0.006931,            0.006931,            0.006931,             0.70197,               0.995
                  33,            0.028021,           0.0080672,                   0,             0.99737,                   1,               0.995,             0.70098,            0.020322,           0.0083685,                   0,            0.006832,            0.006832,            0.006832,             0.70098,               0.995
                  34,            0.027678,           0.0080398,                   0,             0.99736,                   1,               0.995,             0.82304,             0.01917,           0.0077415,                   0,            0.006733,            0.006733,            0.006733,             0.82304,               0.995
                  35,            0.026831,           0.0074847,                   0,             0.99727,                   1,               0.995,             0.87247,             0.01712,           0.0075874,                   0,            0.006634,            0.006634,            0.006634,             0.87247,               0.995
                  36,             0.02819,           0.0077278,                   0,             0.99735,                   1,               0.995,             0.81938,            0.014019,           0.0075258,                   0,            0.006535,            0.006535,            0.006535,             0.81938,               0.995
                  37,            0.026801,           0.0077316,                   0,              0.9975,                   1,               0.995,             0.69267,            0.025195,           0.0077605,                   0,            0.006436,            0.006436,            0.006436,             0.69267,               0.995
                  38,            0.028056,           0.0073966,                   0,             0.99752,                   1,               0.995,             0.88417,            0.015898,           0.0074232,                   0,            0.006337,            0.006337,            0.006337,             0.88417,               0.995
                  39,             0.02696,           0.0075231,                   0,             0.99758,                   1,               0.995,             0.77528,            0.020326,            0.007126,                   0,            0.006238,            0.006238,            0.006238,             0.77528,               0.995
                  40,            0.023712,           0.0068696,                   0,             0.99763,                   1,               0.995,             0.73597,            0.022326,           0.0073004,                   0,            0.006139,            0.006139,            0.006139,             0.73597,               0.995
                  41,            0.026702,           0.0077203,                   0,              0.9976,                   1,               0.995,             0.84469,            0.017795,           0.0077812,                   0,             0.00604,             0.00604,             0.00604,             0.84469,               0.995
                  42,            0.023878,           0.0072293,                   0,              0.9977,                   1,               0.995,             0.80052,            0.016914,           0.0073594,                   0,            0.005941,            0.005941,            0.005941,             0.80052,               0.995
                  43,            0.023307,           0.0074881,                   0,             0.99767,                   1,               0.995,              0.8274,            0.016738,           0.0075543,                   0,            0.005842,            0.005842,            0.005842,              0.8274,               0.995
                  44,            0.025663,           0.0073599,                   0,             0.99763,                   1,               0.995,             0.77143,            0.017852,           0.0083187,                   0,            0.005743,            0.005743,            0.005743,             0.77143,               0.995
                  45,            0.022893,           0.0073514,                   0,             0.99751,                   1,               0.995,             0.86942,            0.018067,           0.0078668,                   0,            0.005644,            0.005644,            0.005644,             0.86942,               0.995
                  46,            0.023805,           0.0072369,                   0,             0.99752,                   1,               0.995,             0.86842,            0.018582,           0.0073203,                   0,            0.005545,            0.005545,            0.005545,             0.86842,               0.995
                  47,            0.023515,           0.0067697,                   0,             0.99752,                   1,               0.995,             0.84384,            0.016268,           0.0073277,                   0,            0.005446,            0.005446,            0.005446,             0.84384,               0.995
                  48,            0.022371,           0.0066928,                   0,             0.99769,                   1,               0.995,             0.77744,            0.016502,           0.0069912,                   0,            0.005347,            0.005347,            0.005347,             0.77744,               0.995
                  49,            0.022665,           0.0071575,                   0,             0.99779,                   1,               0.995,             0.84697,            0.015234,           0.0067547,                   0,            0.005248,            0.005248,            0.005248,             0.84697,               0.995
                  50,            0.021542,           0.0063576,                   0,             0.99782,                   1,               0.995,             0.89941,             0.01367,           0.0065063,                   0,            0.005149,            0.005149,            0.005149,             0.89941,               0.995
